metric_id,metric_name,period_end,value,unit,source_artifact,source_reference,computation_note
ar_subledger_balance,Accounts receivable subledger balance,2024-04-30,2322666.86,usd,,,"Open receivable from the subledger at the month end, the days sales outstanding input. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_subledger_balance,Accounts receivable subledger balance,2024-05-31,2344531.91,usd,,,"Open receivable from the subledger at the month end, the days sales outstanding input. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_subledger_balance,Accounts receivable subledger balance,2024-06-30,2360233.74,usd,,,"Open receivable from the subledger at the month end, the days sales outstanding input. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_subledger_balance,Accounts receivable subledger balance,2024-07-31,2347249.01,usd,,,"Open receivable from the subledger at the month end, the days sales outstanding input. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_subledger_balance,Accounts receivable subledger balance,2024-08-31,2405956.13,usd,,,"Open receivable from the subledger at the month end, the days sales outstanding input. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_subledger_balance,Accounts receivable subledger balance,2024-09-30,2493485.90,usd,,,"Open receivable from the subledger at the month end, the days sales outstanding input. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_subledger_balance,Accounts receivable subledger balance,2024-10-31,2454454.60,usd,,,"Open receivable from the subledger at the month end, the days sales outstanding input. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_subledger_balance,Accounts receivable subledger balance,2024-11-30,2623628.94,usd,,,"Open receivable from the subledger at the month end, the days sales outstanding input. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_subledger_balance,Accounts receivable subledger balance,2024-12-31,2609134.04,usd,,,"Open receivable from the subledger at the month end, the days sales outstanding input. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_subledger_balance,Accounts receivable subledger balance,2025-01-31,2591036.18,usd,,,"Open receivable from the subledger at the month end, the days sales outstanding input. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_subledger_balance,Accounts receivable subledger balance,2025-02-28,2676888.80,usd,,,"Open receivable from the subledger at the month end, the days sales outstanding input. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_subledger_balance,Accounts receivable subledger balance,2025-03-31,2789269.70,usd,,,"Open receivable from the subledger at the month end, the days sales outstanding input. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_subledger_balance,Accounts receivable subledger balance,2025-04-30,2759811.14,usd,,,"Open receivable from the subledger at the month end, the days sales outstanding input. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_subledger_balance,Accounts receivable subledger balance,2025-05-31,2825044.54,usd,,,"Open receivable from the subledger at the month end, the days sales outstanding input. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_subledger_balance,Accounts receivable subledger balance,2025-06-30,2832309.20,usd,,,"Open receivable from the subledger at the month end, the days sales outstanding input. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_subledger_balance,Accounts receivable subledger balance,2025-07-31,2888179.00,usd,,,"Open receivable from the subledger at the month end, the days sales outstanding input. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_subledger_balance,Accounts receivable subledger balance,2025-08-31,2937415.63,usd,,,"Open receivable from the subledger at the month end, the days sales outstanding input. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_subledger_balance,Accounts receivable subledger balance,2025-09-30,3015110.26,usd,,,"Open receivable from the subledger at the month end, the days sales outstanding input. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_subledger_balance,Accounts receivable subledger balance,2025-10-31,3169698.69,usd,,,"Open receivable from the subledger at the month end, the days sales outstanding input. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_subledger_balance,Accounts receivable subledger balance,2025-11-30,3288671.70,usd,,,"Open receivable from the subledger at the month end, the days sales outstanding input. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_subledger_balance,Accounts receivable subledger balance,2025-12-31,3260905.56,usd,,,"Open receivable from the subledger at the month end, the days sales outstanding input. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_subledger_balance,Accounts receivable subledger balance,2026-01-31,3345355.25,usd,,,"Open receivable from the subledger at the month end, the days sales outstanding input. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_subledger_balance,Accounts receivable subledger balance,2026-02-28,3279907.89,usd,,,"Open receivable from the subledger at the month end, the days sales outstanding input. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_subledger_balance,Accounts receivable subledger balance,2026-03-31,3438041.42,usd,FIN-04,ar-aging-summary.json subledger_total,"Days sales outstanding uses this subledger figure and not FIN-05's control account 1100, which ends the period 17446.72 lower on the subledger-only invoice FIN-04 ships. A metric called single-method has to name its input."
deferred_revenue_current,Deferred revenue - current,2024-04-30,17259743.27,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_current,Deferred revenue - current,2024-05-31,17151474.70,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_current,Deferred revenue - current,2024-06-30,17279185.00,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_current,Deferred revenue - current,2024-07-31,17272475.95,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_current,Deferred revenue - current,2024-08-31,17518573.28,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_current,Deferred revenue - current,2024-09-30,17646320.00,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_current,Deferred revenue - current,2024-10-31,17844029.54,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_current,Deferred revenue - current,2024-11-30,18089385.56,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_current,Deferred revenue - current,2024-12-31,18137678.85,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_current,Deferred revenue - current,2025-01-31,18177768.62,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_current,Deferred revenue - current,2025-02-28,18458884.62,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_current,Deferred revenue - current,2025-03-31,18961985.98,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_current,Deferred revenue - current,2025-04-30,18660546.04,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_current,Deferred revenue - current,2025-05-31,19169355.24,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_current,Deferred revenue - current,2025-06-30,19423423.17,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_current,Deferred revenue - current,2025-07-31,19552488.87,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_current,Deferred revenue - current,2025-08-31,19334453.89,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_current,Deferred revenue - current,2025-09-30,19467880.32,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_current,Deferred revenue - current,2025-10-31,19897505.43,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_current,Deferred revenue - current,2025-11-30,19908743.58,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_current,Deferred revenue - current,2025-12-31,20392758.31,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_current,Deferred revenue - current,2026-01-31,20345801.81,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_current,Deferred revenue - current,2026-02-28,20520176.44,usd,FIN-05,gl-trial-balance.csv account 2300 beginning_balance,"FIN-05 account 2300 beginning balance, which is the balance at the February month end."
deferred_revenue_current,Deferred revenue - current,2026-03-31,20031018.96,usd,FIN-05,gl-trial-balance.csv account 2300 ending_balance,FIN-05 account 2300 ending balance at the same date.
deferred_revenue_noncurrent,Deferred revenue - non-current,2024-04-30,1755568.39,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_noncurrent,Deferred revenue - non-current,2024-05-31,1726765.62,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_noncurrent,Deferred revenue - non-current,2024-06-30,1822841.58,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_noncurrent,Deferred revenue - non-current,2024-07-31,1795492.87,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_noncurrent,Deferred revenue - non-current,2024-08-31,1783147.76,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_noncurrent,Deferred revenue - non-current,2024-09-30,1846579.24,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_noncurrent,Deferred revenue - non-current,2024-10-31,1790636.52,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_noncurrent,Deferred revenue - non-current,2024-11-30,1863474.99,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_noncurrent,Deferred revenue - non-current,2024-12-31,1911300.93,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_noncurrent,Deferred revenue - non-current,2025-01-31,1877795.61,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_noncurrent,Deferred revenue - non-current,2025-02-28,1937242.78,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_noncurrent,Deferred revenue - non-current,2025-03-31,1921994.87,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_noncurrent,Deferred revenue - non-current,2025-04-30,1932751.25,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_noncurrent,Deferred revenue - non-current,2025-05-31,1915375.11,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_noncurrent,Deferred revenue - non-current,2025-06-30,1956689.46,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_noncurrent,Deferred revenue - non-current,2025-07-31,1930405.91,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_noncurrent,Deferred revenue - non-current,2025-08-31,2003104.46,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_noncurrent,Deferred revenue - non-current,2025-09-30,1985024.90,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_noncurrent,Deferred revenue - non-current,2025-10-31,1961078.15,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_noncurrent,Deferred revenue - non-current,2025-11-30,1991669.37,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_noncurrent,Deferred revenue - non-current,2025-12-31,2091032.61,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_noncurrent,Deferred revenue - non-current,2026-01-31,2049532.33,usd,,,Contract liability at the month end. FIN-05 pins this input at the two ends of the March close only.
deferred_revenue_noncurrent,Deferred revenue - non-current,2026-02-28,2066107.44,usd,FIN-05,gl-trial-balance.csv account 2310 beginning_balance,"FIN-05 account 2310 beginning balance, which is the balance at the February month end."
deferred_revenue_noncurrent,Deferred revenue - non-current,2026-03-31,2263716.56,usd,FIN-05,gl-trial-balance.csv account 2310 ending_balance,FIN-05 account 2310 ending balance at the same date.
ar_customer_count,Customers with an open receivable,2024-04-30,9,customers,,,"Customers carrying an open receivable at the month end. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_customer_count,Customers with an open receivable,2024-05-31,10,customers,,,"Customers carrying an open receivable at the month end. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_customer_count,Customers with an open receivable,2024-06-30,10,customers,,,"Customers carrying an open receivable at the month end. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_customer_count,Customers with an open receivable,2024-07-31,10,customers,,,"Customers carrying an open receivable at the month end. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_customer_count,Customers with an open receivable,2024-08-31,10,customers,,,"Customers carrying an open receivable at the month end. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_customer_count,Customers with an open receivable,2024-09-30,11,customers,,,"Customers carrying an open receivable at the month end. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_customer_count,Customers with an open receivable,2024-10-31,12,customers,,,"Customers carrying an open receivable at the month end. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_customer_count,Customers with an open receivable,2024-11-30,11,customers,,,"Customers carrying an open receivable at the month end. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
ar_customer_count,Customers with an open receivable,2024-12-31,12,customers,,,"Customers carrying an open receivable at the month end. No frozen file in the pack carries this input at this month end, so the extract itself is the source of record."
